34,221,48,235,TUAS LINK,EW33
35,254,49,268,TUAS WEST ROAD,EW32
35,287,49,301,TUAS CRESCENT,EW31
35,321,49,335,GUL CIRCLE,EW30
34,352,48,366,JOO KOON ,EW29
33,385,47,399,PIONEER ,EW28
33,416,47,430,BOON LAY ,EW27
76,459,90,473,LAKESIDE ,EW26
122,460,136,474,CHINESE GARDEN ,EW25
170,458,184,472,JURONG EAST ,NS1/EW24
229,459,243,473,CLEMENTI ,EW23
269,460,283,474,DOVER ,EW22
314,459,328,473,BUONA VISTA ,CC22/EW21
351,483,365,497,COMMONWEALTH ,EW20
376,506,390,520,QUEENSTOWN ,EW19
404,529,418,543,REDHILL ,EW18
434,557,448,571,TIONG BAHRU ,EW17
465,584,479,598,OUTRAM PARK ,EW16/NE3
523,638,537,652,TANJONG PAGAR ,EW15
639,620,653,634,RAFFLES PLACE ,NS26/EW14
638,583,652,597,CITY HALL ,NS25/EW13
704,523,718,537,BUGIS ,EW12/DT14
736,493,750,507,LAVENDER ,EW11
766,467,780,481,KALLANG ,EW10
790,440,804,454,ALJUNIED ,EW9
827,409,841,423,PAYA LEBAR ,EW8/CC9
864,373,878,387,EUNOS ,EW7
901,336,915,350,KEMBANGAN ,EW6
962,307,976,321,BEDOK ,EW5
1036,306,1050,320,TANAH MERAH ,EW4/CG
1050,285,1064,299,SIMEI ,EW3
1052,249,1066,263,TAMPINES ,EW2/DT32
1050,220,1064,234,PASIR RIS,EW1
1106,349,1120,363,EXPO,CG1/DT35
1154,350,1168,364,CHANGI AIRPORT,CG2
170,385,184,399,BUKIT BATOK,NS2
168,328,182,342,BUKIT GOMBAK,NS3
169,265,183,279,CHOA CHU KANG,NS4
171,201,185,215,YEW TEE,NS5
171,140,185,154,KRANJI,NS7
203,67,217,81,MARSILING,NS8
299,50,313,64,WOODLANDS,NS9/TE2
357,52,371,66,ADMIRALTY,NS10
410,52,424,66,SEMBAWANG,NS11
464,52,478,66,CANBERRA,NS12
517,68,531,82,YISHUN,NS13
547,100,561,114,KHATIB,NS14
555,138,569,152,YIO CHU KANG,NS15
553,178,567,192,ANG MO KIO,NS16
553,222,567,236,BISHAN,NS17/CC15
554,248,568,262,BRADDELL,NS18
556,282,570,296,TOA PAYOH,NS19
532,323,546,337,NOVENA,NS20
498,355,512,369,NEWTON,NS21/DT11
465,408,479,422,ORCHARD,NS22
492,449,506,463,SOMERSET,NS23
559,496,573,510,DHOBY GHAUT,NS24/NE6/CC1
636,674,650,688,MARINA BAY,NS27/CE2
683,707,697,721,MARINA SOUTH PIER,NS28
260,176,274,190,BUKIT PANJANG,DT1
262,204,276,218,CASHEW,DT2
260,222,274,236,HILLVIEW,DT3
260,244,274,258,BEAUTY WORLD,DT5
260,268,274,282,KING ALBERT PARK,DT6
260,291,274,305,SIXTH AVENUE,DT7
302,321,316,335,TAN KAH KEE,DT8
365,318,379,332,BOTANIC GARDENS,CC19/DT9
442,318,456,332,STEVENS,DT10
596,423,610,437,LITTLE INDIA,NE7/DT12
635,455,649,469,ROCHOR,DT13
773,604,787,618,PROMENADE,DT15/CC4
725,647,739,661,BAYFRONT,DT16/CE1
674,661,688,675,DOWNTOWN,DT17
600,621,614,635,TELOK AYER,DT18
522,552,536,566,CHINATOWN,NE4/DT19
519,513,533,527,FORT CANNING,DT20
655,503,669,517,BENCOOLEN,DT21
685,474,699,488,JALAN BESAR,DT22
725,436,739,450,BENDEMEER,DT23
753,410,767,424,GEYLANG BAHRU,DT24
782,382,796,396,MATTAR,DT25
808,356,822,370,MACPHERSON,DT26/CC10
842,327,856,341,UBI,DT27
871,296,885,310,KAKI BUKIT,DT28
902,273,916,287,BEDOK NORTH,DT29
955,263,969,277,BEDOK RESERVOIR,DT30
1003,265,1017,279,TAMPINES WEST,DT31
1107,289,1121,303,TAMPINES EAST,DT33
1109,311,1123,325,UPPER CHANGI,DT34
462,681,476,695,HARBOURFRONT,CC29/NE1
413,648,427,662,TELOK BLANGAH,CC28
380,622,394,636,LABRADOR PARK,CC27
356,593,370,607,PASIR PANJANG,CC26
339,563,353,577,HAW PAR VILLA,CC25
325,530,339,544,KENT RIDGE,CC24
318,493,332,507,ONE-NORTH,CC23
320,409,334,423,HOLLAND VILLAGE,CC21
337,366,351,380,FARRER ROAD,CC20
442,253,456,267,CALDECOTT,CC17
492,234,506,248,MARYMOUNT,CC16
631,226,645,240,LORONG CHUAN,CC14
696,246,710,260,SERANGOON,NE12/CC13
743,280,757,294,BARTLEY,CC12
782,314,796,328,TAI SENG,CC11
831,454,845,468,DAKOTA,CC8
830,492,844,506,MOUNTBATTEN,CC7
822,531,836,545,STADIUM,CC6
807,564,821,578,NICOLL HIGHWAY,CC5
543,532,557,546,CLARKE QUAY,NE5
598,385,612,399,FARRER PARK,NE8
598,351,612,365,BOON KENG,NE9
619,314,633,328,POTONG PASIR,NE10
654,280,668,294,WOODLEIGH,NE11
724,217,738,231,KOVAN,NE13
749,195,763,209,HOUGANG,NE14
775,169,789,183,BUANGKOK,NE15
801,146,815,160,SENGKANG,NE16/STC
858,90,872,104,PUNGGOL,NE17/PTC
260,14,274,28,WOODLANDS NORTH,TE1
324,75,338,89,WOODLANDS SOUTH,TE3
645,531,659,545,BRAS BASAH,CC2
701,584,715,598,ESPLANADE,CC3
966,355,980,369,Opp Blk 32,84029
954,398,968,412,Flamingo Valley,83249
950,442,964,456,Aft Elite Pk Ave,93119
939,483,953,497,Seaside Residences,93149
294,662,308,676,OPP YEO'S BLDG,14171
244,629,258,643,ALEXANDRA PT,15051
211,595,225,609,NUH,18071
183,559,197,573,BLK 506,20011
169,513,183,527,JURONG TOWN HALL,28231
